incident_name,incident_id,DSCI_current,DSCI_4wk_avg,DSCI_8wk_avg,DSCI_12wk_avg,DSCI_16wk_avg,DSCI_25wk_avg,DSCI_36wk_avg,DSCI_42wk_avg,DSCI_52wk_avg,eddi90d_current,spei180d_current,pdsi_current,eddi90d_1wk_avg,spei180d_1wk_avg,pdsi_1wk_avg,eddi90d_2wk_avg,spei180d_2wk_avg,pdsi_2wk_avg,eddi90d_4wk_avg,spei180d_4wk_avg,pdsi_4wk_avg
Bridge Fire,49232e73-c3ba-4dc3-b673-b973a918fa7c,,,,,,,,,,,,,,,,,,,,,
Taglio Fire,fcb8579e-7469-4c9e-9eac-527264e6f26b,,,,,,,,,,,,,,,,,,,,,
Pala Fire,8f61f461-552d-4538-b186-35ab030da416,,,,,,,,,,,,,,,,,,,,,
River Fire,094719ba-a47b-4abb-9ec5-a506b2b9fd23,292.0,292.0,292.125,292.125,292.125,292.125,292.125,292.125,292.125,0.6299999952316284,-0.800000011920929,-2.9100000858306885,0.5850000381469727,-0.9049999713897704,-2.8350000381469727,0.496666669845581,-0.8100000023841858,-2.763333320617676,0.3466666638851166,-0.5633333325386047,-2.565000057220459
Fawnskin Fire,58f89ff8-bd3e-4355-b1c0-8fa05c747d3f,229.0,229.0,229.0,229.0,230.9375,230.9375,230.9375,230.9375,230.9375,1.0099999904632568,-1.4500000476837158,-3.7300000190734863,1.2300000190734863,-1.4500000476837158,-3.670000076293945,1.15666663646698,-1.4500000476837158,-3.609999895095825,1.0483332872390747,-1.3933333158493042,-3.4549999237060547
Gold Fire,357ffc13-bef9-48eb-810f-c5de851972eb,234.0,228.0,221.125,208.41666666666666,199.3125,196.16666666666666,196.16666666666666,196.16666666666666,196.16666666666666,1.0099999904632568,-1.0099999904632568,-2.9800000190734863,0.9549999833106996,-1.0099999904632568,-2.9099998474121094,0.8733333349227905,-0.9733332991600036,-2.8366665840148926,0.6816666722297668,-0.8116666674613953,-2.6733334064483643
Silverado Fire,d8d1c943-7b5d-4885-9043-f41075d6eded,100.0,100.0,100.0,91.66666666666667,68.75,61.111111111111114,61.111111111111114,61.111111111111114,61.111111111111114,1.690000057220459,-0.3899999856948852,-2.319999933242798,1.4850000143051147,-0.2800000011920929,-2.240000009536743,1.3666666746139526,-0.2433333247900009,-2.1733334064483643,1.0716667175292969,-0.1716666668653488,-2.025000095367432
306 Fire,5649e78d-7c26-4698-89a0-b0fa9a35cf78,100.0,100.0,98.0,90.33333333333333,67.75,60.22222222222222,60.22222222222222,60.22222222222222,60.22222222222222,2.0899999141693115,-0.6200000047683716,-2.2799999713897705,1.8899999856948853,-0.5800000429153442,-2.1999998092651367,1.6866666078567505,-0.5166666507720947,-2.133333206176758,1.4199999570846558,-0.45333331823349,-1.9900000095367432
Summit Fire,a1b14be5-a8cf-4e40-8588-96becf4c5879,233.0,190.25,172.625,166.75,165.5625,165.94444444444446,165.94444444444446,165.94444444444446,165.94444444444446,2.0899999141693115,-1.690000057220459,-4.010000228881836,1.684999942779541,-1.690000057220459,-3.940000057220459,1.459999918937683,-1.6100000143051147,-3.870000123977661,1.3083332777023315,-1.53000009059906,-3.681666612625122
Yellow Fire,64e4f81e-d872-44c4-ba8d-111fa77124ba,100.0,100.0,85.25,81.83333333333333,61.375,54.55555555555556,54.55555555555556,54.55555555555556,54.55555555555556,1.690000057220459,-0.3199999928474426,-1.399999976158142,1.4850000143051147,-0.209999993443489,-1.319999933242798,1.3666666746139526,-0.1733333319425583,-1.2633333206176758,1.18833327293396,-0.1133333295583725,-1.149999976158142
Panther Fire,53122f0f-fefc-4dbf-b2d8-566b42ced66d,100.0,100.0,93.75,85.08333333333333,63.8125,56.72222222222222,56.72222222222222,56.72222222222222,56.72222222222222,1.690000057220459,-0.1000000014901161,-1.3799999952316284,1.5700000524520874,-0.135000005364418,-1.315000057220459,1.4733333587646484,-0.1233333349227905,-1.2633333206176758,1.3766666650772097,-0.1000000014901161,-1.1483333110809326
Tres Pinos Fire,ca68f3c4-4906-4952-b794-4531d7da8369,158.0,158.0,158.0,157.25,154.1875,157.72222222222223,157.72222222222223,157.72222222222223,157.72222222222223,1.4500000476837158,-1.0099999904632568,-3.240000009536743,1.4500000476837158,-1.0099999904632568,-3.240000009536743,1.159999966621399,-0.9399999976158142,-3.156666755676269,0.8933333158493042,-0.79666668176651,-3.051666736602783
Gorgonio Fire,958ce6d2-97f9-4848-8620-d14ab87f329d,233.0,190.25,172.625,166.75,165.5625,165.94444444444446,165.94444444444446,165.94444444444446,165.94444444444446,2.0899999141693115,-1.2799999713897705,-3.0299999713897705,2.0899999141693115,-1.2799999713897705,-3.0299999713897705,1.8199999332427976,-1.2799999713897705,-2.93666672706604,1.656000018119812,-1.25,-2.8359999656677246
Lytle Fire,e2c4b308-9a2d-483b-8434-999bef9adc7c,267.0,249.0,239.0,235.66666666666666,234.5,234.8421052631579,234.8421052631579,234.8421052631579,234.8421052631579,2.0899999141693115,-1.1299999952316284,-3.380000114440918,2.0899999141693115,-1.1299999952316284,-3.380000114440918,2.0899999141693115,-1.1799999475479126,-3.2933332920074463,1.9166666269302368,-1.1549999713897705,-3.0933332443237305
Grand Fire,e0d038e9-0926-4c05-8317-ec7075a04b12,210.0,205.0,155.5,139.83333333333334,132.375,145.5,145.5,145.5,145.5,1.690000057220459,-1.1299999952316284,-3.819999933242798,1.690000057220459,-1.069999933242798,-3.7799999713897705,1.690000057220459,-1.0499999523162842,-3.740000009536743,1.3700000047683716,-1.069999933242798,-3.569999933242798
