incident_name,incident_is_final,incident_date_last_update,incident_date_created,incident_administrative_unit,incident_administrative_unit_url,incident_county,incident_location,incident_acres_burned,incident_containment,incident_control,incident_cooperating_agencies,incident_longitude,incident_latitude,incident_type,incident_id,incident_url,incident_date_extinguished,incident_dateonly_extinguished,incident_dateonly_created,is_active,calfire_incident,notification_desired,elevation,slope,aspect,vegetation_type_code,previous_fire_count,wind_speed_current,rel_humidity_current,temperature_current,fuel_moisture_100hr_current,fuel_moisture_1000hr_current,wind_speed_1wk_avg,rel_humidity_1wk_avg,temperature_1wk_avg,fuel_moisture_1000hr_1wk_avg,fuel_moisture_100hr_1wk_avg,wind_speed_2wk_avg,rel_humidity_2wk_avg,temperature_2wk_avg,fuel_moisture_1000hr_2wk_avg,fuel_moisture_100hr_2wk_avg,wind_speed_4wk_avg,rel_humidity_4wk_avg,temperature_4wk_avg,fuel_moisture_1000hr_4wk_avg,fuel_moisture_100hr_4wk_avg
 Bridge Fire,Y,2018-01-09T13:46:00Z,2017-10-31T11:22:00Z, Shasta-Trinity National Forest ,,Shasta,"I-5 and Turntable Bay, 7 miles NE of Shasta Lake ",37,100,, Shasta-Trinity National Forest ,-122.309,40.774,,2ca11d45-8139-4c16-8af0-880d99b21e82,https://www.fire.ca.gov/incidents/2017/10/31/bridge-fire/,2018-01-09T13:46:00Z,2018-01-09,2017-10-31,N,false,false,335.55987548828125,26.689421824316447,44.618786262162374,,,4.400000095367432,74.5,299.5,9.100000381469727,9.399999618530273,3.0999999046325684,68.0999984741211,302.7124938964844,9.487500190734863,9.462499618530273,3.5199999809265137,72.76666259765625,299.4866638183594,9.0,10.326666831970215,3.6413793563842773,60.53792953491211,299.2034606933594,8.162069320678711,8.331034660339355
Pala Fire,Y,2020-09-16T14:07:35Z,2009-05-24T14:56:00Z,CAL FIRE San Diego Unit,,San Diego,"Hwy 76 and Pala Temecula, northwest of Pala",122,100,,CAL FIRE San Diego Unit,1,1,Wildfire,8f61f461-552d-4538-b186-35ab030da416,https://www.fire.ca.gov/incidents/2009/5/24/pala-fire/,2009-05-25T00:00:00Z,2009-05-25,2009-05-24,N,true,false,,,,,,,,,,,,,,,,,,,,,,,,,
River Fire,Y,2022-10-24T11:39:23Z,2013-02-24T08:16:00Z,CAL FIRE San Bernardino Unit,,Inyo,"south of Narrow Gauge Rd & north of Hwy 136, east of Lone Pine",407,100,,"CAL FIRE San Bernardino Unit, Inyo County Sheriff, US Forest Service, BLM, LADWP, Lone Pine Volunteer Fire Department, Big Pine Volunteer Fire Department, Olancha Volunteer Fire Department, Independence Volunteer Fire Department.",-118.01651,36.602575,,094719ba-a47b-4abb-9ec5-a506b2b9fd23,https://www.fire.ca.gov/incidents/2013/2/24/river-fire/,2013-02-28T20:00:00Z,2013-02-28,2013-02-24,N,true,false,1119.1224365234375,0.21815920005917327,232.66897694390946,,,5.4207658767700195,55.74186325073242,283.76641845703125,7.974242210388184,9.732542991638184,3.140031576156616,57.11686706542969,286.6001281738281,10.108646392822266,8.270200729370117,2.910935878753662,60.76374053955078,286.7843933105469,10.510326385498047,8.709000587463379,2.7218618392944336,63.053382873535156,287.403564453125,11.268670082092285,9.77967643737793
Fawnskin Fire,Y,2013-04-22T09:00:00Z,2013-04-20T17:30:00Z,San Bernardino National Forest,,San Bernardino,"west of Delamar Mountain, north of the community of Fawnskin, northside of Big Bear Lake",30,100,,San Bernardino National Forest,-116.941311,34.288877,,58f89ff8-bd3e-4355-b1c0-8fa05c747d3f,https://www.fire.ca.gov/incidents/2013/4/20/fawnskin-fire/,2013-04-22T09:00:00Z,2013-04-22,2013-04-20,N,false,false,2412.166015625,14.222582285353946,147.60163420597678,,,3.090294361114502,39.51237487792969,292.7296142578125,5.58569860458374,8.703054428100586,4.405730247497559,54.68532943725586,287.43597412109375,9.271499633789062,7.445019721984863,4.320394992828369,60.25794982910156,287.90240478515625,9.569223403930664,8.409564971923828,3.634645938873291,64.16412353515625,288.2984313964844,9.67673397064209,8.528179168701172
Gold Fire,Y,2013-05-01T07:00:00Z,2013-04-30T12:59:00Z,CAL FIRE Madera-Mariposa-Merced Unit,,Madera,Between Road 210 and Road 200 near Fine Gold Creek in the community of O,274,100,,CAL FIRE Madera-Mariposa-Merced Unit,-119.635004,37.116295,,357ffc13-bef9-48eb-810f-c5de851972eb,https://www.fire.ca.gov/incidents/2013/4/30/gold-fire/,2013-05-01T07:00:00Z,2013-05-01,2013-04-30,N,true,false,483.9196472167969,12.011538683970121,174.9892418926265,,,3.412729263305664,72.08648681640625,303.2413330078125,9.854695320129395,12.24599552154541,2.7880423069000244,77.6834945678711,302.43389892578125,12.72408390045166,9.889516830444336,3.1707746982574463,74.80474853515625,300.0605163574219,13.441134452819824,10.429924964904785,3.385563850402832,83.3265151977539,297.80902099609375,14.465703964233398,12.553139686584473
Panther Fire,Y,2022-10-24T11:40:03Z,2013-05-01T09:12:00Z,CAL FIRE Butte Unit,,Tehama,"140K3 Line, 8 miles northwest of Butte Meadows",6896,100,,"CAL FIRE Butte Unit, CAL FIRE, USFS (Lassen and Plumas NF), CDCR, SPI, Collins Pine, Chico Fire Department",-121.595555,40.190062,,53122f0f-fefc-4dbf-b2d8-566b42ced66d,https://www.fire.ca.gov/incidents/2013/5/1/panther-fire/,2013-05-09T09:00:00Z,2013-05-09,2013-05-01,N,true,false,1367.7869873046875,12.11629714435494,222.77196547731077,,,7.226833820343018,34.8507194519043,289.4027099609375,7.545355796813965,12.208478927612305,4.218079566955566,57.548736572265625,293.2685546875,13.13863468170166,7.823491096496582,4.679999351501465,62.79722595214844,291.6273498535156,14.31760025024414,8.861132621765137,4.792691707611084,73.61834716796875,289.04791259765625,16.30011749267578,12.425653457641602
Silverado Fire,Y,2013-05-01T17:15:00Z,2013-04-30T23:44:00Z,CAL FIRE Sonoma-Lake-Napa Unit,,Napa,"7300 block of Silverado Trail, north of Napa",75,100,,CAL FIRE Sonoma-Lake-Napa Unit,-122.350844,38.441792,,d8d1c943-7b5d-4885-9043-f41075d6eded,https://www.fire.ca.gov/incidents/2013/4/30/silverado-fire/,2013-05-01T17:15:00Z,2013-05-01,2013-04-30,N,true,false,64.41593933105469,5.912168906116344,270.5807718896179,,,4.527488708496094,70.5348892211914,301.5518493652344,9.536105155944824,12.806632041931152,3.364725351333618,74.83295440673828,302.11285400390625,13.30972957611084,9.42990493774414,3.8395934104919434,70.60567474365234,300.6109619140625,14.265331268310547,9.650054931640625,3.899963855743408,80.63941955566406,298.1019287109375,16.02737045288086,12.945903778076172
Yellow Fire,Y,2013-05-03T06:15:00Z,2013-05-01T02:01:00Z,CAL FIRE Sonoma-Lake-Napa Unit,,Sonoma,"Hwy 128 & Yellow Jacket Ranch Rd in Knights Valley, northwest of Calistoga",125,100,,CAL FIRE Sonoma-Lake-Napa Unit,-122.655616,38.638828,,64e4f81e-d872-44c4-ba8d-111fa77124ba,https://www.fire.ca.gov/incidents/2013/5/1/yellow-fire/,2013-05-03T06:15:00Z,2013-05-03,2013-05-01,N,true,false,256.6183776855469,16.446173032502063,291.5076459458673,,,5.787871360778809,31.49440574645996,298.3138427734375,8.289427757263184,13.716056823730469,3.85367751121521,73.98796081542969,299.2937316894531,14.569392204284668,9.958847999572754,3.9765913486480713,70.81501770019531,298.1056823730469,15.638996124267578,10.215999603271484,4.574493885040283,81.61589813232422,295.0774841308594,17.740732192993164,13.897786140441895
Summit Fire,Y,2022-10-24T11:40:42Z,2013-05-01T12:38:00Z,CAL FIRE/Riverside County Fire ,,Riverside,Mias Canyon and Bluff Road in Banning,2956,100,,CAL FIRE/Riverside County Fire ,-116.941311,34.288877,,a1b14be5-a8cf-4e40-8588-96becf4c5879,https://www.fire.ca.gov/incidents/2013/5/1/summit-fire/,2013-05-04T18:30:00Z,2013-05-04,2013-05-01,N,true,false,2412.166015625,14.222582285353946,147.60163420597678,,,5.102227687835693,56.5626335144043,292.0728759765625,5.2415032386779785,7.048398494720459,3.108914613723755,45.97721862792969,294.0764465332031,7.496956825256348,5.160980701446533,3.2537360191345215,43.78330993652344,292.0200500488281,8.052204132080078,5.524634838104248,3.691696882247925,54.77445983886719,290.5069580078125,8.894639015197754,7.300549030303955
Tres Pinos Fire,Y,2013-05-03T18:45:00Z,2013-05-03T11:42:00Z,CAL FIRE San Benito-Monterey ,,San Benito,"Highway 25 and Horizon Rd, Community of Tres ",354,100,,CAL FIRE San Benito-Monterey ,-120.937494,37.160346,,ca68f3c4-4906-4952-b794-4531d7da8369,https://www.fire.ca.gov/incidents/2013/5/3/tres-pinos-fire/,2013-05-03T18:45:00Z,2013-05-03,2013-05-03,N,true,false,26.2810001373291,0.013013121083810454,-0.0,,,2.0286173820495605,49.403350830078125,308.0976867675781,7.685688495635986,12.0997953414917,2.902202606201172,78.0577392578125,306.42327880859375,12.926289558410645,10.006240844726562,2.747532606124878,77.38410949707031,305.3831481933594,13.5441255569458,9.763602256774902,3.401827573776245,84.43268585205078,301.50799560546875,15.08629322052002,12.195590019226074
