incident_name,incident_is_final,incident_date_last_update,incident_date_created,incident_administrative_unit,incident_administrative_unit_url,incident_county,incident_location,incident_acres_burned,incident_containment,incident_control,incident_cooperating_agencies,incident_longitude,incident_latitude,incident_type,incident_id,incident_url,incident_date_extinguished,incident_dateonly_extinguished,incident_dateonly_created,is_active,calfire_incident,notification_desired,lon,lat,fire_start_date,pr_8w,rmax_8w,rmin_8w,sph_8w,srad_8w,th_8w,tmmn_8w,tmmx_8w,vs_8w,bi_8w,fm100_8w,fm1000_8w,erc_8w,etr_8w,pet_8w,vpd_8w,pr_6w,rmax_6w,rmin_6w,sph_6w,srad_6w,th_6w,tmmn_6w,tmmx_6w,vs_6w,bi_6w,fm100_6w,fm1000_6w,erc_6w,etr_6w,pet_6w,vpd_6w,pr_4w,rmax_4w,rmin_4w,sph_4w,srad_4w,th_4w,tmmn_4w,tmmx_4w,vs_4w,bi_4w,fm100_4w,fm1000_4w,erc_4w,etr_4w,pet_4w,vpd_4w,pr_2w,rmax_2w,rmin_2w,sph_2w,srad_2w,th_2w,tmmn_2w,tmmx_2w,vs_2w,bi_2w,fm100_2w,fm1000_2w,erc_2w,etr_2w,pet_2w,vpd_2w
 Bridge Fire,Y,2018-01-09T13:46:00Z,2017-10-31T11:22:00Z, Shasta-Trinity National Forest ,,Shasta,"I-5 and Turntable Bay, 7 miles NE of Shasta Lake ",37.0,100.0,, Shasta-Trinity National Forest ,-122.309,40.774,,2ca11d45-8139-4c16-8af0-880d99b21e82,https://www.fire.ca.gov/incidents/2017/10/31/bridge-fire/,2018-01-09T13:46:00Z,2018-01-09,2017-10-31,N,False,False,-122.309,40.774,2017-10-31,0.3857143,66.192856,24.985716,0.008113571,240.8143,146.21428,289.82144,305.2,3.4071426,49.285713,8.385715,7.2071433,72.07143,8.17143,5.7428575,2.1807144,0.0,63.328564,20.928572,0.0052585714,212.42143,129.78572,284.30716,299.7143,3.7071433,52.642857,8.728571,8.092857,69.21429,7.1857142,4.835715,1.6178572,0.0,47.43571,10.699999,0.0032092857,204.02144,115.78571,281.69998,298.89996,3.7714288,60.285713,6.192857,7.2642856,79.35714,7.35,4.7285714,1.7485715,1.1785715,72.64286,22.742859,0.0054421425,151.48572,125.57143,282.07855,299.4857,3.457143,39.57143,10.414286,8.971429,61.857143,5.5571427,3.557143,1.5407141
Pala Fire,Y,2020-09-16T14:07:35Z,2009-05-24T14:56:00Z,CAL FIRE San Diego Unit,,San Diego,"Hwy 76 and Pala Temecula, northwest of Pala",122.0,100.0,,CAL FIRE San Diego Unit,1.0,1.0,Wildfire,8f61f461-552d-4538-b186-35ab030da416,https://www.fire.ca.gov/incidents/2009/5/24/pala-fire/,2009-05-25T00:00:00Z,2009-05-25,2009-05-24,N,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
River Fire,Y,2022-10-24T11:39:23Z,2013-02-24T08:16:00Z,CAL FIRE San Bernardino Unit,,Inyo,"south of Narrow Gauge Rd & north of Hwy 136, east of Lone Pine",407.0,100.0,,"CAL FIRE San Bernardino Unit, Inyo County Sheriff, US Forest Service, BLM, LADWP, Lone Pine Volunteer Fire Department, Big Pine Volunteer Fire Department, Olancha Volunteer Fire Department, Independence Volunteer Fire Department.",-118.01651,36.602575,,094719ba-a47b-4abb-9ec5-a506b2b9fd23,https://www.fire.ca.gov/incidents/2013/2/24/river-fire/,2013-02-28T20:00:00Z,2013-02-28,2013-02-24,N,True,False,-118.01651,36.602575,2013-02-24,0.26923078,63.415382,23.13077,0.0022353844,109.19999,240.76923,269.41537,283.13846,2.5461538,31.692308,10.43077,12.623077,49.615383,2.5153844,1.5923078,0.54615384,0.2,72.00714,26.314283,0.0026721428,119.91429,258.92856,269.83572,284.54288,2.3500001,32.357143,12.099999,12.457143,47.92857,2.614286,1.6928571,0.56928575,0.21428572,65.50001,22.000002,0.0029435714,140.7,265.5,273.32138,288.06427,2.5214286,32.857143,10.921428,12.078573,51.357143,3.2571425,2.1857142,0.7550001,0.0,61.12857,18.464289,0.0023707144,163.87856,288.0,271.67856,286.98572,2.7285717,46.714287,8.778571,10.55,62.357143,3.642857,2.4785714,0.74428564
Fawnskin Fire,Y,2013-04-22T09:00:00Z,2013-04-20T17:30:00Z,San Bernardino National Forest,,San Bernardino,"west of Delamar Mountain, north of the community of Fawnskin, northside of Big Bear Lake",30.0,100.0,,San Bernardino National Forest,-116.941311,34.288877,,58f89ff8-bd3e-4355-b1c0-8fa05c747d3f,https://www.fire.ca.gov/incidents/2013/4/20/fawnskin-fire/,2013-04-22T09:00:00Z,2013-04-22,2013-04-20,N,False,False,-116.941311,34.288877,2013-04-20,1.0357143,63.992863,18.335714,0.0020321428,222.79286,223.21428,267.04288,282.3857,3.507143,40.857143,9.764285,12.321428,53.42857,3.6928573,2.6571426,0.5435714,0.42857143,52.899998,12.714286,0.0022614286,251.19998,260.64285,271.6,288.9,3.214286,44.57143,9.064285,12.185715,57.5,5.028571,3.628571,0.9178571,0.0,68.34285,16.057142,0.0028585715,274.89285,264.14285,270.85715,288.73572,2.892857,51.142857,8.664286,9.785714,66.07143,4.9500003,3.7428572,0.7892858,0.20714286,61.757145,15.092856,0.0025414284,307.69998,266.42856,270.2214,287.55713,4.4,52.5,8.614286,9.6285715,64.92857,5.792857,4.2714286,0.78071433
Gold Fire,Y,2013-05-01T07:00:00Z,2013-04-30T12:59:00Z,CAL FIRE Madera-Mariposa-Merced Unit,,Madera,Between Road 210 and Road 200 near Fine Gold Creek in the community of O,274.0,100.0,,CAL FIRE Madera-Mariposa-Merced Unit,-119.635004,37.116295,,357ffc13-bef9-48eb-810f-c5de851972eb,https://www.fire.ca.gov/incidents/2013/4/30/gold-fire/,2013-05-01T07:00:00Z,2013-05-01,2013-04-30,N,True,False,-119.635004,37.116295,2013-04-30,1.2285713,87.98571,38.65,0.0058585713,198.17859,218.64285,279.0643,294.04288,2.3714283,18.285715,15.328572,16.59286,30.642857,3.8499997,2.9285715,0.8371428,0.78571427,85.185715,36.164284,0.005765,220.09999,275.2857,279.27142,294.62857,2.3,22.857143,13.771428,15.350001,35.857143,4.35,3.3642857,0.86500007,0.17857143,92.450005,38.1,0.0063692858,253.91428,322.07144,279.44284,295.40005,3.614286,28.0,14.835714,15.564285,34.857143,5.385714,4.0642858,0.84142846,0.0,75.0,26.814281,0.006144285,300.02856,329.35715,281.65,299.85,3.1571429,39.285713,10.485715,13.521429,49.142857,7.164286,5.3928576,1.4078571
Panther Fire,Y,2022-10-24T11:40:03Z,2013-05-01T09:12:00Z,CAL FIRE Butte Unit,,Tehama,"140K3 Line, 8 miles northwest of Butte Meadows",6896.0,100.0,,"CAL FIRE Butte Unit, CAL FIRE, USFS (Lassen and Plumas NF), CDCR, SPI, Collins Pine, Chico Fire Department",-121.595555,40.190062,,53122f0f-fefc-4dbf-b2d8-566b42ced66d,https://www.fire.ca.gov/incidents/2013/5/1/panther-fire/,2013-05-09T09:00:00Z,2013-05-09,2013-05-01,N,True,False,-121.595555,40.190062,2013-05-01,3.0714285,68.564285,29.357145,0.003440714,189.53572,225.71428,273.54288,287.1357,3.7857149,25.142857,12.657142,16.007145,36.285713,3.9214284,2.7999997,0.67,4.85,86.43572,41.18572,0.0046592853,208.99998,142.0,273.90714,286.57858,3.8142858,17.928572,15.585714,16.414286,28.785715,3.4714286,2.65,0.45642853,1.4857142,85.21428,42.485718,0.0046935715,250.20714,219.78572,274.2786,286.2786,4.914285,24.571428,16.25,18.414286,25.928572,4.0642858,3.1,0.4535714,0.0,64.80714,24.22857,0.004196428,312.4857,343.2857,276.62857,291.77856,4.5071425,44.92857,8.971428,14.45,48.285713,6.5214295,4.821429,0.9078571
Silverado Fire,Y,2013-05-01T17:15:00Z,2013-04-30T23:44:00Z,CAL FIRE Sonoma-Lake-Napa Unit,,Napa,"7300 block of Silverado Trail, north of Napa",75.0,100.0,,CAL FIRE Sonoma-Lake-Napa Unit,-122.350844,38.441792,,d8d1c943-7b5d-4885-9043-f41075d6eded,https://www.fire.ca.gov/incidents/2013/4/30/silverado-fire/,2013-05-01T17:15:00Z,2013-05-01,2013-04-30,N,True,False,-122.350844,38.441792,2013-04-30,0.85714287,86.08572,37.90714,0.005744286,214.62859,264.57144,279.30716,293.66428,2.857143,24.857143,15.1428585,16.507143,32.92857,4.0785713,3.0642858,0.7871429,1.6,88.92857,44.62143,0.0062614284,196.37859,247.78572,279.87857,292.67142,3.057143,18.928572,15.407142,16.250002,29.642857,3.9714284,3.0142856,0.6328572,1.2642858,91.39286,40.87143,0.006784286,267.60715,264.42856,280.45,295.41428,3.9642856,23.0,16.47857,17.92857,27.0,5.6,4.2285714,0.7871428,0.0,70.60715,24.392857,0.0060049994,325.67142,305.07144,282.78574,300.55,3.7785714,41.357143,9.657144,14.364285,47.785713,8.3714285,6.157143,1.5057143
Yellow Fire,Y,2013-05-03T06:15:00Z,2013-05-01T02:01:00Z,CAL FIRE Sonoma-Lake-Napa Unit,,Sonoma,"Hwy 128 & Yellow Jacket Ranch Rd in Knights Valley, northwest of Calistoga",125.0,100.0,,CAL FIRE Sonoma-Lake-Napa Unit,-122.655616,38.638828,,64e4f81e-d872-44c4-ba8d-111fa77124ba,https://www.fire.ca.gov/incidents/2013/5/1/yellow-fire/,2013-05-03T06:15:00Z,2013-05-03,2013-05-01,N,True,False,-122.655616,38.638828,2013-05-01,2.5928571,89.08572,42.97857,0.0063835713,210.67857,270.7857,279.4,291.7,3.5285716,23.428572,16.292858,17.064287,29.214285,3.7214284,2.8428571,0.59285706,3.0142858,91.442856,55.43571,0.007229286,205.2,211.35715,279.05713,290.1357,3.192857,16.571428,17.642857,17.87143,23.5,3.0142856,2.492857,0.3314286,1.7357142,93.17857,48.85714,0.0071621435,267.7214,294.85715,279.19287,291.82855,5.2000003,23.285715,17.842855,19.992859,21.0,4.585715,3.557143,0.47071433,0.0,73.62142,26.828571,0.006568572,325.24286,301.42856,282.90714,298.10004,3.8428571,37.5,10.357142,15.778571,42.42857,7.478572,5.657142,1.2064285
Summit Fire,Y,2022-10-24T11:40:42Z,2013-05-01T12:38:00Z,CAL FIRE/Riverside County Fire ,,Riverside,Mias Canyon and Bluff Road in Banning,2956.0,100.0,,CAL FIRE/Riverside County Fire ,-116.941311,34.288877,,a1b14be5-a8cf-4e40-8588-96becf4c5879,https://www.fire.ca.gov/incidents/2013/5/1/summit-fire/,2013-05-04T18:30:00Z,2013-05-04,2013-05-01,N,True,False,-116.941311,34.288877,2013-05-01,1.4642857,59.385715,17.714287,0.0022935716,241.54997,248.85715,270.40714,286.73572,3.2785716,36.0,10.478571,12.507143,51.92857,4.407143,3.2214284,0.80285704,0.0,66.25714,15.714286,0.0027335715,268.04285,268.0,270.7143,288.29288,3.05,52.5,7.985714,9.942857,66.64286,4.9500003,3.692857,0.7764286,0.20714286,66.564285,16.4,0.002925714,300.30713,275.0,271.37857,288.88574,4.142857,49.142857,9.207143,9.792856,62.92857,5.821429,4.307143,0.81928575,0.0,42.87143,7.5571427,0.0020692856,327.57858,250.71428,273.19284,292.02142,3.1214287,64.57143,5.5571427,8.142858,80.85714,6.7428575,5.057143,1.1857144
Tres Pinos Fire,Y,2013-05-03T18:45:00Z,2013-05-03T11:42:00Z,CAL FIRE San Benito-Monterey ,,San Benito,"Highway 25 and Horizon Rd, Community of Tres ",354.0,100.0,,CAL FIRE San Benito-Monterey ,-120.937494,37.160346,,ca68f3c4-4906-4952-b794-4531d7da8369,https://www.fire.ca.gov/incidents/2013/5/3/tres-pinos-fire/,2013-05-03T18:45:00Z,2013-05-03,2013-05-03,N,True,False,-120.937494,37.160346,2013-05-03,0.32142857,97.84286,37.1,0.007017143,228.3,307.7857,280.6143,296.65,2.242857,18.928572,17.121428,18.585714,26.0,4.135714,3.2357144,0.86071426,0.65000004,94.51429,35.585712,0.006966428,242.32854,279.7857,281.27856,296.95718,2.192857,20.928572,15.6214285,17.250002,30.214285,4.6,3.6428568,0.90928566,0.0,91.99285,29.428572,0.006207857,303.70718,310.42856,280.07144,297.35715,4.114286,33.285713,14.8,16.742857,34.5,6.742856,5.021428,1.0314286,0.0,79.38573,18.85,0.0068885717,331.95712,322.14285,284.97144,305.20712,2.8000004,39.142857,9.9,13.657143,50.57143,8.700001,6.5499997,1.9814285
