State,County,FIPS,MapDate,DSCI
CA,Alameda County,06001,20130101,16
CA,Alameda County,06001,20130108,16
CA,Alameda County,06001,20130115,0
CA,Alameda County,06001,20130122,0
CA,Alameda County,06001,20130129,0
CA,Alameda County,06001,20130205,0
CA,Alameda County,06001,20130212,0
CA,Alameda County,06001,20130219,89
CA,Alameda County,06001,20130226,100
CA,Alameda County,06001,20130305,100
CA,Alameda County,06001,20130312,100
CA,Alameda County,06001,20130319,100
CA,Alameda County,06001,20130326,100
CA,Alameda County,06001,20130402,100
CA,Alameda County,06001,20130409,100
CA,Alameda County,06001,20130416,100
CA,Alameda County,06001,20130423,100
CA,Alameda County,06001,20130430,100
CA,Alameda County,06001,20130507,200
CA,Alameda County,06001,20130514,200
CA,Alameda County,06001,20130521,200
CA,Alameda County,06001,20130528,200
CA,Alameda County,06001,20130604,200
CA,Alameda County,06001,20130611,200
CA,Alameda County,06001,20130618,200
CA,Alameda County,06001,20130625,300
CA,Alameda County,06001,20130702,300
CA,Alameda County,06001,20130709,300
CA,Alameda County,06001,20130716,300
CA,Alameda County,06001,20130723,300
CA,Alameda County,06001,20130730,300
CA,Alameda County,06001,20130806,300
CA,Alameda County,06001,20130813,300
CA,Alameda County,06001,20130820,300
CA,Alameda County,06001,20130827,300
CA,Alameda County,06001,20130903,300
CA,Alameda County,06001,20130910,300
CA,Alameda County,06001,20130917,300
CA,Alameda County,06001,20130924,300
CA,Alameda County,06001,20131001,300
CA,Alameda County,06001,20131008,300
CA,Alameda County,06001,20131015,300
CA,Alameda County,06001,20131022,300
CA,Alameda County,06001,20131029,300
CA,Alameda County,06001,20131105,300
CA,Alameda County,06001,20131112,300
CA,Alameda County,06001,20131119,307
CA,Alameda County,06001,20131126,307
CA,Alameda County,06001,20131203,307
CA,Alameda County,06001,20131210,307
CA,Alameda County,06001,20131217,307
CA,Alameda County,06001,20131224,307
CA,Alameda County,06001,20131231,307
CA,Alameda County,06001,20140107,307
CA,Alameda County,06001,20140114,400
CA,Alameda County,06001,20140121,400
CA,Alameda County,06001,20140128,400
CA,Alameda County,06001,20140204,400
CA,Alameda County,06001,20140211,400
CA,Alameda County,06001,20140218,400
CA,Alameda County,06001,20140225,458
CA,Alameda County,06001,20140304,458
CA,Alameda County,06001,20140311,458
CA,Alameda County,06001,20140318,458
CA,Alameda County,06001,20140325,458
CA,Alameda County,06001,20140401,458
CA,Alameda County,06001,20140408,458
CA,Alameda County,06001,20140415,458
CA,Alameda County,06001,20140422,496
CA,Alameda County,06001,20140429,496
CA,Alameda County,06001,20140506,496
CA,Alameda County,06001,20140513,496
CA,Alameda County,06001,20140520,496
CA,Alameda County,06001,20140527,496
CA,Alameda County,06001,20140603,496
CA,Alameda County,06001,20140610,496
CA,Alameda County,06001,20140617,500
CA,Alameda County,06001,20140624,500
CA,Alameda County,06001,20140701,500
CA,Alameda County,06001,20140708,500
CA,Alameda County,06001,20140715,500
CA,Alameda County,06001,20140722,500
CA,Alameda County,06001,20140729,500
CA,Alameda County,06001,20140805,500
CA,Alameda County,06001,20140812,500
CA,Alameda County,06001,20140819,500
CA,Alameda County,06001,20140826,500
CA,Alameda County,06001,20140902,500
CA,Alameda County,06001,20140909,500
CA,Alameda County,06001,20140916,500
CA,Alameda County,06001,20140923,500
CA,Alameda County,06001,20140930,500
CA,Alameda County,06001,20141007,500
CA,Alameda County,06001,20141014,500
CA,Alameda County,06001,20141021,500
CA,Alameda County,06001,20141028,500
CA,Alameda County,06001,20141104,500
CA,Alameda County,06001,20141111,500
CA,Alameda County,06001,20141118,500
CA,Alameda County,06001,20141125,500
CA,Alameda County,06001,20141202,500
CA,Alameda County,06001,20141209,500
CA,Alameda County,06001,20141216,419
CA,Alameda County,06001,20141223,419
CA,Alameda County,06001,20141230,419
CA,Alameda County,06001,20150106,419
CA,Alameda County,06001,20150113,419
CA,Alameda County,06001,20150120,419
CA,Alameda County,06001,20150127,419
CA,Alameda County,06001,20150203,419
CA,Alameda County,06001,20150210,419
CA,Alameda County,06001,20150217,419
CA,Alameda County,06001,20150224,419
CA,Alameda County,06001,20150303,419
CA,Alameda County,06001,20150310,419
CA,Alameda County,06001,20150317,419
CA,Alameda County,06001,20150324,419
CA,Alameda County,06001,20150331,419
CA,Alameda County,06001,20150407,419
CA,Alameda County,06001,20150414,419
CA,Alameda County,06001,20150421,419
CA,Alameda County,06001,20150428,419
CA,Alameda County,06001,20150505,419
CA,Alameda County,06001,20150512,419
CA,Alameda County,06001,20150519,419
CA,Alameda County,06001,20150526,419
CA,Alameda County,06001,20150602,419
CA,Alameda County,06001,20150609,419
CA,Alameda County,06001,20150616,419
CA,Alameda County,06001,20150623,419
CA,Alameda County,06001,20150630,419
CA,Alameda County,06001,20150707,419
CA,Alameda County,06001,20150714,419
CA,Alameda County,06001,20150721,419
CA,Alameda County,06001,20150728,419
CA,Alameda County,06001,20150804,419
CA,Alameda County,06001,20150811,419
CA,Alameda County,06001,20150818,419
CA,Alameda County,06001,20150825,419
CA,Alameda County,06001,20150901,419
CA,Alameda County,06001,20150908,419
CA,Alameda County,06001,20150915,419
CA,Alameda County,06001,20150922,419
CA,Alameda County,06001,20150929,419
CA,Alameda County,06001,20151006,419
CA,Alameda County,06001,20151013,419
CA,Alameda County,06001,20151020,419
CA,Alameda County,06001,20151027,419
CA,Alameda County,06001,20151103,419
CA,Alameda County,06001,20151110,419
CA,Alameda County,06001,20151117,419
CA,Alameda County,06001,20151124,419
CA,Alameda County,06001,20151201,419
CA,Alameda County,06001,20151208,419
CA,Alameda County,06001,20151215,419
CA,Alameda County,06001,20151222,419
CA,Alameda County,06001,20151229,419
CA,Alameda County,06001,20160105,419
CA,Alameda County,06001,20160112,419
CA,Alameda County,06001,20160119,419
CA,Alameda County,06001,20160126,419
CA,Alameda County,06001,20160202,419
CA,Alameda County,06001,20160209,419
CA,Alameda County,06001,20160216,419
CA,Alameda County,06001,20160223,419
CA,Alameda County,06001,20160301,419
CA,Alameda County,06001,20160308,419
CA,Alameda County,06001,20160315,348
CA,Alameda County,06001,20160322,348
CA,Alameda County,06001,20160329,348
CA,Alameda County,06001,20160405,344
CA,Alameda County,06001,20160412,344
CA,Alameda County,06001,20160419,327
CA,Alameda County,06001,20160426,327
CA,Alameda County,06001,20160503,327
CA,Alameda County,06001,20160510,327
CA,Alameda County,06001,20160517,327
CA,Alameda County,06001,20160524,327
CA,Alameda County,06001,20160531,327
CA,Alameda County,06001,20160607,327
CA,Alameda County,06001,20160614,327
CA,Alameda County,06001,20160621,327
CA,Alameda County,06001,20160628,327
CA,Alameda County,06001,20160705,327
CA,Alameda County,06001,20160712,327
CA,Alameda County,06001,20160719,327
CA,Alameda County,06001,20160726,327
CA,Alameda County,06001,20160802,327
CA,Alameda County,06001,20160809,327
CA,Alameda County,06001,20160816,327
CA,Alameda County,06001,20160823,327
CA,Alameda County,06001,20160830,327
CA,Alameda County,06001,20160906,327
CA,Alameda County,06001,20160913,327
CA,Alameda County,06001,20160920,327
CA,Alameda County,06001,20160927,327
CA,Alameda County,06001,20161004,327
CA,Alameda County,06001,20161011,327
CA,Alameda County,06001,20161018,327
CA,Alameda County,06001,20161025,327
CA,Alameda County,06001,20161101,327
CA,Alameda County,06001,20161108,327
CA,Alameda County,06001,20161115,327
CA,Alameda County,06001,20161122,327
CA,Alameda County,06001,20161129,327
CA,Alameda County,06001,20161206,327
CA,Alameda County,06001,20161213,327
CA,Alameda County,06001,20161220,256
CA,Alameda County,06001,20161227,256
CA,Alameda County,06001,20170103,256
CA,Alameda County,06001,20170110,85
CA,Alameda County,06001,20170117,85
CA,Alameda County,06001,20170124,3
CA,Alameda County,06001,20170131,3
CA,Alameda County,06001,20170207,3
CA,Alameda County,06001,20170214,0
CA,Alameda County,06001,20170221,0
CA,Alameda County,06001,20170228,0
CA,Alameda County,06001,20170307,0
CA,Alameda County,06001,20170314,0
CA,Alameda County,06001,20170321,0
CA,Alameda County,06001,20170328,0
CA,Alameda County,06001,20170404,0
CA,Alameda County,06001,20170411,0
CA,Alameda County,06001,20170418,0
CA,Alameda County,06001,20170425,0
CA,Alameda County,06001,20170502,0
CA,Alameda County,06001,20170509,0
CA,Alameda County,06001,20170516,0
CA,Alameda County,06001,20170523,0
CA,Alameda County,06001,20170530,0
CA,Alameda County,06001,20170606,0
CA,Alameda County,06001,20170613,0
CA,Alameda County,06001,20170620,0
CA,Alameda County,06001,20170627,0
CA,Alameda County,06001,20170704,0
CA,Alameda County,06001,20170711,0
CA,Alameda County,06001,20170718,0
CA,Alameda County,06001,20170725,0
CA,Alameda County,06001,20170801,0
CA,Alameda County,06001,20170808,0
CA,Alameda County,06001,20170815,0
CA,Alameda County,06001,20170822,0
CA,Alameda County,06001,20170829,0
CA,Alameda County,06001,20170905,0
CA,Alameda County,06001,20170912,0
CA,Alameda County,06001,20170919,0
CA,Alameda County,06001,20170926,0
CA,Alameda County,06001,20171003,0
CA,Alameda County,06001,20171010,0
CA,Alameda County,06001,20171017,0
