State,County,FIPS,MapDate,DSCI
NV,Carson City,32510,20130101,229
NV,Carson City,32510,20130108,208
NV,Carson City,32510,20130115,203
NV,Carson City,32510,20130122,203
NV,Carson City,32510,20130129,203
NV,Carson City,32510,20130205,203
NV,Carson City,32510,20130212,203
NV,Carson City,32510,20130219,203
NV,Carson City,32510,20130226,213
NV,Carson City,32510,20130305,215
NV,Carson City,32510,20130312,213
NV,Carson City,32510,20130319,213
NV,Carson City,32510,20130326,213
NV,Carson City,32510,20130402,213
NV,Carson City,32510,20130409,213
NV,Carson City,32510,20130416,213
NV,Carson City,32510,20130423,232
NV,Carson City,32510,20130430,232
NV,Carson City,32510,20130507,232
NV,Carson City,32510,20130514,232
NV,Carson City,32510,20130521,232
NV,Carson City,32510,20130528,232
NV,Carson City,32510,20130604,233
NV,Carson City,32510,20130611,226
NV,Carson City,32510,20130618,226
NV,Carson City,32510,20130625,228
NV,Carson City,32510,20130702,226
NV,Carson City,32510,20130709,226
NV,Carson City,32510,20130716,300
NV,Carson City,32510,20130723,300
NV,Carson City,32510,20130730,300
NV,Carson City,32510,20130806,300
NV,Carson City,32510,20130813,300
NV,Carson City,32510,20130820,300
NV,Carson City,32510,20130827,300
NV,Carson City,32510,20130903,300
NV,Carson City,32510,20130910,300
NV,Carson City,32510,20130917,300
NV,Carson City,32510,20130924,300
NV,Carson City,32510,20131001,300
NV,Carson City,32510,20131008,300
NV,Carson City,32510,20131015,300
NV,Carson City,32510,20131022,300
NV,Carson City,32510,20131029,300
NV,Carson City,32510,20131105,300
NV,Carson City,32510,20131112,300
NV,Carson City,32510,20131119,300
NV,Carson City,32510,20131126,300
NV,Carson City,32510,20131203,300
NV,Carson City,32510,20131210,300
NV,Carson City,32510,20131217,300
NV,Carson City,32510,20131224,300
NV,Carson City,32510,20131231,300
NV,Carson City,32510,20140107,300
NV,Carson City,32510,20140114,400
NV,Carson City,32510,20140121,400
NV,Carson City,32510,20140128,400
NV,Carson City,32510,20140204,400
NV,Carson City,32510,20140211,400
NV,Carson City,32510,20140218,400
NV,Carson City,32510,20140225,400
NV,Carson City,32510,20140304,400
NV,Carson City,32510,20140311,400
NV,Carson City,32510,20140318,400
NV,Carson City,32510,20140325,400
NV,Carson City,32510,20140401,400
NV,Carson City,32510,20140408,400
NV,Carson City,32510,20140415,400
NV,Carson City,32510,20140422,400
NV,Carson City,32510,20140429,400
NV,Carson City,32510,20140506,400
NV,Carson City,32510,20140513,400
NV,Carson City,32510,20140520,400
NV,Carson City,32510,20140527,400
NV,Carson City,32510,20140603,400
NV,Carson City,32510,20140610,400
NV,Carson City,32510,20140617,453
NV,Carson City,32510,20140624,453
NV,Carson City,32510,20140701,453
NV,Carson City,32510,20140708,453
NV,Carson City,32510,20140715,453
NV,Carson City,32510,20140722,453
NV,Carson City,32510,20140729,498
NV,Carson City,32510,20140805,498
NV,Carson City,32510,20140812,498
NV,Carson City,32510,20140819,498
NV,Carson City,32510,20140826,498
NV,Carson City,32510,20140902,498
NV,Carson City,32510,20140909,498
NV,Carson City,32510,20140916,498
NV,Carson City,32510,20140923,498
NV,Carson City,32510,20140930,498
NV,Carson City,32510,20141007,498
NV,Carson City,32510,20141014,498
NV,Carson City,32510,20141021,498
NV,Carson City,32510,20141028,498
NV,Carson City,32510,20141104,498
NV,Carson City,32510,20141111,498
NV,Carson City,32510,20141118,498
NV,Carson City,32510,20141125,498
NV,Carson City,32510,20141202,498
NV,Carson City,32510,20141209,498
NV,Carson City,32510,20141216,498
NV,Carson City,32510,20141223,498
NV,Carson City,32510,20141230,498
NV,Carson City,32510,20150106,498
NV,Carson City,32510,20150113,500
NV,Carson City,32510,20150120,500
NV,Carson City,32510,20150127,500
NV,Carson City,32510,20150203,500
NV,Carson City,32510,20150210,500
NV,Carson City,32510,20150217,500
NV,Carson City,32510,20150224,500
NV,Carson City,32510,20150303,500
NV,Carson City,32510,20150310,500
NV,Carson City,32510,20150317,500
NV,Carson City,32510,20150324,500
NV,Carson City,32510,20150331,500
NV,Carson City,32510,20150407,500
NV,Carson City,32510,20150414,500
NV,Carson City,32510,20150421,500
NV,Carson City,32510,20150428,500
NV,Carson City,32510,20150505,500
NV,Carson City,32510,20150512,500
NV,Carson City,32510,20150519,500
NV,Carson City,32510,20150526,500
NV,Carson City,32510,20150602,500
NV,Carson City,32510,20150609,500
NV,Carson City,32510,20150616,500
NV,Carson City,32510,20150623,500
NV,Carson City,32510,20150630,500
NV,Carson City,32510,20150707,500
NV,Carson City,32510,20150714,500
NV,Carson City,32510,20150721,500
NV,Carson City,32510,20150728,500
NV,Carson City,32510,20150804,500
NV,Carson City,32510,20150811,500
NV,Carson City,32510,20150818,500
NV,Carson City,32510,20150825,500
NV,Carson City,32510,20150901,500
NV,Carson City,32510,20150908,500
NV,Carson City,32510,20150915,500
NV,Carson City,32510,20150922,500
NV,Carson City,32510,20150929,500
NV,Carson City,32510,20151006,500
NV,Carson City,32510,20151013,500
NV,Carson City,32510,20151020,500
NV,Carson City,32510,20151027,500
NV,Carson City,32510,20151103,500
NV,Carson City,32510,20151110,500
NV,Carson City,32510,20151117,500
NV,Carson City,32510,20151124,500
NV,Carson City,32510,20151201,500
NV,Carson City,32510,20151208,500
NV,Carson City,32510,20151215,500
NV,Carson City,32510,20151222,500
NV,Carson City,32510,20151229,500
NV,Carson City,32510,20160105,500
NV,Carson City,32510,20160112,500
NV,Carson City,32510,20160119,500
NV,Carson City,32510,20160126,500
NV,Carson City,32510,20160202,500
